,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Nick Anderson\anderni01,23,ORL,NBA,1990-91,70,42,28.2,5.7,12.2,5.5,11.4,0.2,0.8,2.5,3.7,1.3,4.2,5.5,1.5,1.1,0.6,1.6,2.1,14.1,0.467,0.479,0.293,0.477,0.668,0.51
2,Michael Ansley\anslemi01,23,ORL,NBA,1990-91,67,1,13.1,2.1,3.9,2.1,3.9,0,0,1.4,1.9,1.8,2,3.8,0.4,0.4,0.1,0.5,1.9,5.7,0.548,0.548,,0.548,0.717,0.594
3,B.J. Armstrong\armstbj01,23,CHI,NBA,1990-91,82,0,21.1,3.7,7.7,3.5,7.3,0.2,0.4,1.2,1.4,0.3,1.5,1.8,3.7,0.9,0,1.3,1.4,8.8,0.481,0.48,0.5,0.493,0.874,0.529
4,Vincent Askew\askewvi01,24,GSW,NBA,1990-91,7,0,12.1,1.7,3.6,1.7,3.6,0,0,1.3,1.6,1,0.6,1.6,1.9,0.3,0,0.9,3,4.7,0.48,0.48,,0.48,0.818,0.553
5,Dana Barros\barroda01,23,SEA,NBA,1990-91,66,0,11.4,2.3,4.7,1.8,3.5,0.5,1.2,1.2,1.3,0.3,0.8,1.1,1.7,0.3,0,0.8,0.6,6.3,0.495,0.53,0.395,0.547,0.918,0.6
6,Kenny Battle\battlke01,26,TOT,NBA,1990-91,56,8,16.9,2.4,5,2.3,4.6,0.1,0.4,1.3,1.7,1.5,1.7,3.1,1.1,1.1,0.3,0.9,1.9,6.1,0.472,0.504,0.125,0.477,0.753,0.525
7,Winston Bennett\bennewi01,25,CLE,NBA,1990-91,27,13,12.4,1.5,4,1.5,4,0,0,1.3,1.7,1.1,1.3,2.4,1,0.3,0.1,0.7,1.9,4.3,0.374,0.374,,0.374,0.745,0.45
8,Mookie Blaylock\blaylmo01,23,NJN,NBA,1990-91,72,70,35.9,6,14.4,5.8,13.2,0.2,1.3,1.9,2.4,0.9,2.5,3.5,6.1,2.3,0.6,2.9,2.5,14.1,0.416,0.441,0.154,0.423,0.79,0.455
9,Chucky Brown\brownch01,22,CLE,NBA,1990-91,74,51,20.1,3.6,6.8,3.6,6.7,0,0.1,1.4,1.9,1.1,1.8,2.9,1.1,0.4,0.3,1.3,1.8,8.5,0.524,0.528,0,0.524,0.701,0.555
10,Adrian Caldwell\caldwad01,24,HOU,NBA,1990-91,42,0,8.2,0.8,2,0.8,2,0,0,0.2,0.4,1,1.4,2.4,0.2,0.5,0.2,0.7,0.8,1.8,0.422,0.427,0,0.422,0.412,0.426
11,Terry Davis\daviste01,23,MIA,NBA,1990-91,55,17,18.1,2.1,4.3,2.1,4.3,0,0,1.3,2.3,1.9,2.9,4.8,0.7,0.3,0.5,0.7,2.3,5.5,0.487,0.487,0.5,0.489,0.556,0.516
12,Byron Dinkins\dinkiby01,23,TOT,NBA,1990-91,12,0,12.4,1.2,2.8,1.2,2.8,0,0,0.7,0.8,0,1,1,1.6,0.2,0,1.1,1.3,3,0.412,0.412,,0.412,0.889,0.474
13,Vlade Divac\divacvl01,22,LAL,NBA,1990-91,82,81,28.2,4.4,7.8,4.3,7.6,0.1,0.2,2.4,3.4,2.5,5.6,8.1,1.1,1.3,1.5,1.8,3,11.2,0.565,0.57,0.357,0.569,0.703,0.606
14,Sherman Douglas\douglsh01,24,MIA,NBA,1990-91,73,73,35.1,7.3,14.5,7.2,14,0.1,0.4,3.9,5.7,1.1,1.8,2.9,8.5,1.7,0.1,3.7,2.4,18.5,0.504,0.516,0.129,0.506,0.686,0.546
15,Blue Edwards\edwarbl01,25,UTA,NBA,1990-91,62,56,26,3.9,7.5,3.8,7.1,0.1,0.4,1.3,1.9,0.8,2.4,3.2,1.7,0.9,0.5,1.7,3.3,9.3,0.526,0.541,0.25,0.532,0.701,0.559
16,Sean Elliott\elliose01,22,SAS,NBA,1990-91,82,82,37.1,5.8,11.9,5.6,11.1,0.2,0.8,4,4.9,1.7,3.8,5.6,2.9,0.8,0.4,1.8,2.3,15.9,0.49,0.502,0.313,0.5,0.808,0.564
