GS_PCT,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,ALL_STAR,ALL_NBA
0.8,31.2,5.5,12.4,4.2,8.7,1.3,3.7,2.1,3.1,1.3,3.8,5.1,2.6,1.4,0.5,1.7,1.9,14.4,.446,.485,.356,.500,.667,0,0
0.04,14.4,2.6,5.0,2.6,5.0,0.0,0.0,1.7,2.4,2.1,2.1,4.2,0.4,0.3,0.2,0.6,1.9,6.9,.513,.513,0,.513,.722,0,0
0.46,23.8,3.8,8.0,3.2,6.6,0.6,1.4,1.6,1.9,0.3,1.5,1.8,3.3,0.7,0.1,1.2,1.5,9.8,.477,.487,.425,.513,.856,1,0
0.06,20.0,2.6,5.4,2.4,4.9,0.2,0.5,1.7,2.3,0.9,1.7,2.5,2.2,0.7,0.2,1.1,2.1,7.1,.479,.499,.300,.494,.754,0,0
0.31,22.9,3.9,8.4,2.6,5.3,1.3,3.1,1.5,1.7,0.3,1.6,1.9,3.3,0.9,0.1,1.4,1.3,10.5,.460,.488,.411,.536,.858,1,0
0.13,13.4,1.8,3.6,1.8,3.4,0.0,0.2,1.0,1.4,1.0,1.4,2.4,0.8,0.7,0.2,0.7,1.6,4.7,.504,.529,.133,.508,.725,0,0
0.68,15.9,1.9,4.4,1.9,4.4,0.0,0.0,1.0,1.4,1.3,1.7,3.0,0.9,0.4,0.2,0.8,2.2,4.8,.425,.426,.000,.425,.694,0,0
0.9,34.9,5.3,12.9,3.8,8.6,1.4,4.3,1.4,1.9,1.1,3.0,4.1,6.7,2.3,0.3,2.3,1.9,13.5,.409,.445,.336,.465,.736,1,0
0.38,17.2,2.5,5.0,2.4,4.9,0.0,0.1,1.0,1.4,1.0,2.1,3.1,0.8,0.3,0.3,0.8,1.7,5.9,.491,.499,.227,.494,.699,0,0
0.01,8.1,0.8,1.7,0.8,1.7,0.0,0.0,0.3,0.7,0.9,1.6,2.5,0.2,0.3,0.2,0.6,1.4,2.0,.485,.490,.000,.485,.453,0,0
0.57,21.6,2.5,5.3,2.5,5.3,0.0,0.0,1.4,2.3,2.3,3.7,6.0,0.6,0.4,0.3,1.1,2.5,6.4,.472,.475,.158,.473,.605,0,0
0.0,11.4,1.3,3.2,1.3,3.0,0.0,0.2,0.8,0.9,0.3,0.9,1.2,2.1,0.5,0.0,1.1,1.0,3.4,.406,.425,.111,.409,.872,0,0
0.86,29.8,4.6,9.3,4.5,8.9,0.1,0.4,2.5,3.7,2.5,5.7,8.2,3.1,1.1,1.4,2.2,3.2,11.8,.495,.506,.235,.500,.692,1,0
0.63,27.6,4.4,9.0,4.2,8.2,0.2,0.8,2.1,3.1,0.7,1.5,2.2,5.9,1.0,0.1,2.3,2.1,11.0,.484,.504,.267,.495,.678,0,0
0.64,26.1,4.3,9.0,3.9,7.7,0.4,1.3,1.8,2.3,1.0,2.4,3.4,2.0,1.0,0.4,1.7,2.7,10.8,.475,.498,.335,.499,.779,0,0
0.96,33.0,5.2,11.2,4.4,9.1,0.8,2.1,3.0,3.8,1.1,3.2,4.3,2.6,0.8,0.4,1.8,2.2,14.2,.465,.486,.375,.500,.799,2,0
0.52,24.5,3.9,7.6,3.9,7.5,0.0,0.0,1.8,2.6,2.3,4.4,6.7,1.5,0.6,1.6,1.7,3.1,9.5,.510,.513,.050,.510,.689,0,0
0.2,11.2,2.0,4.5,1.9,4.4,0.0,0.1,0.9,1.3,0.9,1.0,1.9,0.9,0.5,0.3,0.9,1.4,4.9,.439,.445,.273,.443,.699,0,0
0.05,14.1,3.3,7.7,3.2,7.3,0.1,0.4,2.0,2.6,0.9,1.4,2.3,0.5,0.5,0.3,0.7,1.8,8.8,.435,.446,.226,.441,.764,0,0
0.02,12.2,1.1,3.0,1.0,2.5,0.1,0.5,0.4,0.5,0.2,0.7,0.9,2.7,0.6,0.0,0.8,1.0,2.8,.383,.405,.281,.408,.710,0,0
0.12,12.2,1.9,4.8,1.9,4.3,0.1,0.5,0.4,0.5,0.2,0.9,1.1,1.8,0.3,0.1,0.7,1.1,4.3,.403,.433,.130,.410,.667,0,0
0.09,15.2,2.1,4.3,2.1,4.3,0.0,0.0,1.2,1.7,1.1,2.2,3.3,0.6,0.2,0.2,0.8,1.8,5.3,.480,.481,.000,.480,.691,0,0
0.89,35.3,6.5,15.1,4.7,10.1,1.8,5.0,2.9,3.8,0.6,2.7,3.3,8.2,1.6,0.1,2.9,2.3,17.7,.431,.469,.355,.490,.782,5,5
0.0,6.2,0.5,1.0,0.5,1.0,0.0,0.0,0.7,0.9,0.3,0.2,0.5,0.3,0.1,0.2,0.3,1.2,1.7,.500,.500,0,.500,.706,0,0
0.09,9.8,1.9,4.0,1.8,3.8,0.1,0.2,1.3,1.8,0.6,0.8,1.4,0.8,0.5,0.0,0.7,0.9,5.2,.471,.479,.350,.481,.722,0,0
0.69,27.9,5.2,10.7,5.2,10.6,0.0,0.1,4.1,5.5,2.9,5.5,8.4,1.6,1.1,1.2,2.6,3.6,14.6,.488,.490,.277,.490,.741,6,3
0.14,16.9,2.4,5.1,2.4,5.1,0.0,0.0,1.5,2.2,1.4,2.0,3.3,0.9,0.4,0.5,1.2,2.1,6.4,.478,.480,.235,.479,.707,0,0
0.0,6.7,0.7,2.0,0.6,1.6,0.1,0.4,0.3,0.6,0.4,0.7,1.1,0.3,0.2,0.0,0.4,0.9,1.9,.369,.399,.263,.398,.596,0,0
0.01,16.9,2.5,5.5,1.6,3.6,0.8,1.9,1.3,1.5,0.4,1.1,1.6,1.3,0.5,0.1,0.6,1.6,7.0,.447,.456,.431,.523,.840,0,0
0.0,4.8,0.5,1.2,0.5,1.2,0.0,0.0,0.3,0.6,0.4,0.7,1.1,0.1,0.1,0.3,0.3,1.0,1.4,.459,.472,.000,.459,.500,0,0
0.0,11.5,1.5,3.4,1.5,3.3,0.0,0.1,0.5,0.8,0.1,0.5,0.6,0.7,0.2,0.1,0.9,1.5,3.5,.432,.444,.000,.432,.667,0,0
0.22,17.9,3.1,6.7,3.0,6.4,0.1,0.3,1.6,2.1,0.7,1.4,2.1,1.4,0.8,0.2,1.1,1.8,7.9,.460,.471,.244,.466,.789,0,0
0.08,22.4,4.3,8.6,4.0,7.6,0.3,0.9,3.8,4.9,0.8,1.5,2.3,2.2,1.3,0.1,2.0,2.7,12.8,.505,.522,.369,.526,.768,0,0
0.34,18.8,2.7,6.4,2.5,5.7,0.2,0.7,1.1,1.6,0.9,1.1,2.0,0.8,0.5,0.3,0.7,1.4,6.7,.417,.434,.282,.433,.694,0,0
0.63,34.7,4.1,8.0,4.1,8.0,0.0,0.0,2.8,4.0,2.2,6.1,8.3,3.4,0.7,0.3,1.8,2.7,10.9,.509,.510,.167,.510,.709,1,1
0.25,22.8,3.2,8.0,2.0,4.7,1.2,3.4,1.4,1.7,0.9,2.2,3.1,2.3,0.8,0.2,1.4,2.1,9.0,.402,.434,.358,.477,.810,0,0
0.0,5.2,0.7,1.8,0.6,1.8,0.0,0.0,0.5,0.7,0.3,0.8,1.0,0.4,0.3,0.2,0.4,0.4,1.8,.361,.352,1.000,.368,.704,0,0
