,,,,,,Totals,Totals,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,GS_PCT,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Grayson Allen,24,MEM,NBA,2019-20,30,0,0,16.6,2.6,5.9,1.5,2.8,1.1,3,1,1.2,0.2,2,2.2,1.4,0.2,0,0.8,1.2,7.4,0.449,0.541,0.363,0.543,0.857,0.577
2,Kostas Antetokounmpo,22,LAL,NBA,2019-20,3,0,0,1.7,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,,,,,,
3,Thanasis Antetokounmpo,27,MIL,NBA,2019-20,18,2,0.11,5.2,1.1,2,1.1,1.6,0,0.4,0.4,0.8,0.6,0.4,1.1,0.5,0.3,0.1,0.6,0.7,2.5,0.528,0.655,0,0.528,0.467,0.528
4,Deandre Ayton,21,PHO,NBA,2019-20,30,25,0.83,33.2,8.5,15.5,8.5,15.4,0,0.1,2,2.6,4.1,7.9,12,1.9,0.7,1.7,2.4,3.2,19,0.548,0.552,0,0.548,0.769,0.571
5,Marvin Bagley,20,SAC,NBA,2019-20,13,6,0.46,25.7,6,12.8,5.7,11.2,0.3,1.7,1.9,2.4,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2,0.467,0.51,0.182,0.479,0.806,0.512
6,Mohamed Bamba,21,ORL,NBA,2019-20,60,0,0,14.5,2.2,4.7,1.6,3,0.6,1.7,0.5,0.8,1.6,3.4,5,0.7,0.4,1.4,0.7,1.9,5.5,0.468,0.534,0.356,0.534,0.674,0.549
7,Keita Bates-Diop,24,TOT,NBA,2019-20,39,0,0,17.1,2.3,5.3,1.5,2.9,0.8,2.4,1.3,1.8,0.5,2.3,2.9,0.8,0.4,0.5,0.4,1,6.6,0.428,0.509,0.33,0.502,0.71,0.541
8,Jonah Bolden,24,TOT,NBA,2019-20,7,0,0,6.7,0.6,1.6,0.6,1,0,0.6,0.3,0.6,0.4,0.9,1.3,0,0.4,0.3,0.3,1.4,1.4,0.364,0.571,0,0.364,0.5,0.392
9,Isaac Bonga,20,WAS,NBA,2019-20,58,41,0.71,17.7,1.7,3.2,1.3,2.2,0.4,0.9,0.9,1.1,1.1,2.1,3.2,1.1,0.6,0.4,0.7,2.3,4.6,0.522,0.574,0.4,0.582,0.813,0.627
10,Mikal Bridges,23,PHO,NBA,2019-20,65,24,0.37,27.3,3.2,6.3,2.4,3.8,0.9,2.4,1.4,1.6,0.9,3.1,4,1.8,1.4,0.6,1,2.2,8.7,0.516,0.621,0.352,0.585,0.848,0.623
11,Miles Bridges,21,CHO,NBA,2019-20,65,64,0.98,30.7,4.9,11.6,3.4,7,1.5,4.6,1.6,2,1.4,4.2,5.6,1.8,0.6,0.7,1.5,2,13,0.424,0.486,0.33,0.489,0.809,0.52
12,Ryan Broekhoff,29,DAL,NBA,2019-20,17,1,0.06,10.6,1.3,3.5,0.1,0.5,1.2,3,0.4,0.5,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9,4.2,0.373,0.25,0.392,0.542,0.875,0.568
13,Bruce Brown,23,DET,NBA,2019-20,58,43,0.74,28.2,3.4,7.7,2.8,6.1,0.6,1.7,1.5,2.1,1.1,3.7,4.7,4,1.1,0.5,1.7,2.8,8.9,0.443,0.47,0.344,0.48,0.739,0.518
14,Troy Brown,20,WAS,NBA,2019-20,61,14,0.23,24.9,3.8,8.3,2.9,5.9,0.8,2.4,1.4,1.9,1,4.3,5.3,2.3,1.2,0.1,1.1,1.8,9.7,0.453,0.496,0.345,0.502,0.754,0.534
15,Jalen Brunson,23,DAL,NBA,2019-20,57,16,0.28,17.9,3.2,6.8,2.4,4.7,0.8,2.1,1.1,1.3,0.4,2,2.4,3.3,0.4,0.1,1.2,1.3,8.2,0.466,0.515,0.358,0.522,0.813,0.553
16,Deonte Burton,26,OKC,NBA,2019-20,34,0,0,8.4,1.1,3.1,0.9,1.7,0.3,1.4,0.2,0.4,0.2,1.2,1.4,0.3,0.1,0.3,0.4,0.8,2.8,0.371,0.492,0.217,0.419,0.5,0.426
17,Jevon Carter,24,PHO,NBA,2019-20,50,2,0.04,15.1,1.6,4.1,0.7,1.8,0.9,2.3,0.4,0.5,0.5,1.5,2,1.3,0.8,0.3,0.6,1.5,4.6,0.4,0.409,0.393,0.512,0.84,0.535
18,Wendell Carter,20,CHI,NBA,2019-20,43,43,1,29.2,4.3,8,4.1,7.3,0.1,0.7,2.6,3.5,3.2,6.2,9.4,1.2,0.8,0.8,1.7,3.8,11.3,0.534,0.564,0.207,0.542,0.737,0.59
19,Joe Chealey,24,CHO,NBA,2019-20,4,0,0,8.3,0,1.8,0,0.8,0,1,0.5,0.5,0,0,0,0.3,1,0,0.5,0.5,0.5,0,0,0,0,1,0.127
20,Chris Chiozza,24,TOT,NBA,2019-20,21,0,0,11.9,1.5,3.8,0.7,1.8,0.9,2,0.1,0.1,0.3,1.4,1.7,2.3,0.7,0.1,0.8,1.1,4,0.405,0.368,0.439,0.519,1,0.526
21,Gary Clark,25,TOT,NBA,2019-20,35,1,0.03,12.1,1.1,2.9,0.3,0.4,0.8,2.5,0.2,0.3,0.8,1.7,2.4,0.4,0.1,0.4,0.1,0.9,3.2,0.376,0.667,0.326,0.515,0.889,0.534
22,Antonius Cleveland,25,DAL,NBA,2019-20,6,0,0,3.7,0.3,1,0.3,0.8,0,0.2,0.2,0.3,0,0.5,0.5,0,0.2,0.2,0.2,0.3,0.8,0.333,0.4,0,0.333,0.5,0.363
23,Hamidou Diallo,21,OKC,NBA,2019-20,38,3,0.08,18.4,2.6,5.8,2.4,4.8,0.2,0.9,0.7,1.2,0.8,2.4,3.2,0.6,0.7,0.2,1,2.2,6.1,0.452,0.5,0.2,0.468,0.622,0.488
24,Donte DiVincenzo,23,MIL,NBA,2019-20,59,22,0.37,23.1,3.5,7.7,2.3,3.9,1.3,3.7,1,1.3,1,3.9,4.9,2.3,1.4,0.3,1.2,1.6,9.4,0.462,0.576,0.344,0.546,0.769,0.57
25,Luka Doncic,20,DAL,NBA,2019-20,54,54,1,33.3,9.5,20.6,6.6,11.5,2.9,9.1,6.8,9.1,1.3,8,9.3,8.7,1.1,0.2,4.2,2.5,28.7,0.461,0.574,0.318,0.531,0.752,0.584
26,Drew Eubanks,22,SAS,NBA,2019-20,14,3,0.21,9.3,1.5,2,1.4,1.9,0.1,0.1,0.6,0.8,0.6,1.9,2.5,0.4,0.1,0.4,0.7,1.5,3.6,0.75,0.741,1,0.768,0.727,0.776
27,Jacob Evans,22,TOT,NBA,2019-20,29,1,0.03,14.4,1.6,4.6,1.1,3.3,0.4,1.3,0.9,1,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4,0.336,0.337,0.333,0.384,0.862,0.436
28,Melvin Frazier,23,ORL,NBA,2019-20,15,0,0,3.4,0.4,1.1,0.1,0.7,0.3,0.5,0.1,0.3,0.1,0.2,0.3,0.1,0.3,0.1,0.2,0.5,1.2,0.353,0.2,0.571,0.471,0.5,0.48
29,Harry Giles,21,SAC,NBA,2019-20,38,17,0.45,15.2,3.1,5.4,3.1,5.4,0,0,0.9,1.1,0.9,3.3,4.2,1.3,0.6,0.4,0.9,2.6,7,0.56,0.56,,0.56,0.767,0.586
30,Shai Gilgeous-Alexander,21,OKC,NBA,2019-20,63,63,1,35.1,7,14.8,5.8,11.3,1.2,3.5,4,5,0.7,5.4,6.1,3.3,1.1,0.7,1.9,1.7,19.3,0.473,0.511,0.351,0.514,0.801,0.566
31,Brandon Goodwin,24,ATL,NBA,2019-20,34,1,0.03,12.6,2.2,5.6,1.5,3,0.8,2.6,0.8,0.9,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1,0.4,0.485,0.299,0.468,0.933,0.507
32,Devonte' Graham,24,CHO,NBA,2019-20,63,53,0.84,35.1,5.8,15.3,2.4,6,3.5,9.3,3,3.7,0.7,2.7,3.4,7.5,1,0.2,2.9,1.8,18.2,0.382,0.397,0.373,0.495,0.82,0.537
33,Josh Gray,26,NOP,NBA,2019-20,2,0,0,11.5,0.5,1,0.5,1,0,0,0,0,0.5,0.5,1,1,0,0,2.5,0.5,1,0.5,0.5,,0.5,,0.5
34,Dusty Hannahs,26,MEM,NBA,2019-20,2,0,0,6.5,2,4.5,1,3,1,1.5,1,1,0,0.5,0.5,0,0,0,0,0.5,6,0.444,0.333,0.667,0.556,1,0.607
35,Isaiah Hartenstein,21,HOU,NBA,2019-20,23,2,0.09,11.6,1.9,2.9,1.9,2.7,0,0.2,0.8,1.2,1.3,2.7,3.9,0.8,0.4,0.5,0.7,1.8,4.7,0.657,0.71,0,0.657,0.679,0.674
36,Aaron Holiday,23,IND,NBA,2019-20,58,26,0.45,23.6,3.5,8.6,2.1,5.1,1.4,3.5,1.1,1.2,0.4,1.9,2.3,3.3,0.8,0.2,1.3,1.8,9.4,0.407,0.416,0.394,0.488,0.861,0.517
37,Kevin Huerter,21,ATL,NBA,2019-20,56,48,0.86,31.4,4.5,10.9,2.2,4.9,2.3,6,0.9,1.1,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,12.2,0.413,0.453,0.38,0.517,0.828,0.536
38,Chandler Hutchison,23,CHI,NBA,2019-20,28,10,0.36,18.8,2.9,6.3,2.4,4.9,0.4,1.4,1.6,2.8,0.6,3.2,3.9,0.9,1,0.3,1,1.7,7.8,0.457,0.496,0.316,0.491,0.59,0.521
39,Frank Jackson,21,NOP,NBA,2019-20,51,1,0.02,12.9,1.9,5,1.2,2.7,0.8,2.4,0.9,1.3,0.4,1,1.4,0.8,0.3,0.1,0.8,1.3,5.6,0.385,0.438,0.325,0.461,0.75,0.5
40,Jaren Jackson,20,MEM,NBA,2019-20,54,54,1,28,6.1,13,3.6,6.7,2.5,6.3,2.3,3.1,1,3.7,4.7,1.4,0.7,1.6,1.7,4.1,16.9,0.468,0.535,0.397,0.564,0.741,0.59
41,Amile Jefferson,26,ORL,NBA,2019-20,18,0,0,4.1,0.3,0.8,0.3,0.8,0,0,0.3,0.8,0.6,0.7,1.3,0.2,0.1,0.2,0.2,0.4,0.8,0.357,0.357,,0.357,0.357,0.372
42,Alize Johnson,23,IND,NBA,2019-20,13,0,0,4.2,0.5,1.2,0.5,1.2,0,0,0.3,0.5,0.5,0.8,1.4,0.2,0,0,0.2,0.5,1.4,0.467,0.467,,0.467,0.667,0.51
43,B.J. Johnson,24,ORL,NBA,2019-20,8,0,0,5.8,0.6,2.3,0.5,1.5,0.1,0.8,0.3,0.3,0.1,0.6,0.8,0.3,0.3,0,0.4,0,1.6,0.278,0.333,0.167,0.306,1,0.344
44,Kevin Knox,20,NYK,NBA,2019-20,65,4,0.06,17.9,2.2,6.2,1.2,3.1,1,3.1,1,1.6,0.4,2.4,2.8,0.9,0.4,0.4,0.7,1.6,6.4,0.359,0.391,0.327,0.44,0.653,0.47
45,Rodions Kurucs,21,BRK,NBA,2019-20,39,4,0.1,12.8,1.5,3.4,0.9,1.8,0.6,1.7,0.4,0.7,0.5,2,2.5,0.8,0.4,0.1,0.9,1.7,4.2,0.448,0.507,0.385,0.541,0.607,0.554
46,Daryl Macon,24,MIA,NBA,2019-20,4,0,0,3.5,0.3,0.8,0,0.3,0.3,0.5,0,0,0,0,0,0.3,0,0,0.5,0.3,0.8,0.333,0,0.5,0.5,,0.5
47,J.P. Macura,24,CLE,NBA,2019-20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
48,Josh Magette,30,ORL,NBA,2019-20,8,0,0,4.8,0.6,1.9,0.5,1.4,0.1,0.5,0.1,0.3,0.1,0.6,0.8,0.6,0.4,0.1,0.6,0.5,1.5,0.333,0.364,0.25,0.367,0.5,0.378
49,De'Anthony Melton,21,MEM,NBA,2019-20,52,8,0.15,19.4,2.8,6.8,2.1,4.5,0.7,2.3,1.7,2,0.7,3,3.7,3,1.3,0.3,1.5,1.8,8.1,0.419,0.47,0.316,0.472,0.821,0.525
50,Chimezie Metu,22,SAS,NBA,2019-20,16,0,0,4.6,1.3,2.2,1.3,2.1,0,0.1,0.4,0.5,0.6,1,1.6,0.4,0.1,0.3,0.3,0.3,2.9,0.571,0.588,0,0.571,0.75,0.597
51,Shake Milton,23,PHI,NBA,2019-20,32,16,0.5,19.1,3.4,6.8,1.9,3.5,1.5,3.3,1.2,1.6,0.3,1.8,2.1,2.2,0.6,0.2,1.2,2.2,9.5,0.498,0.541,0.453,0.608,0.765,0.633
52,D_anan Musa,20,BRK,NBA,2019-20,35,0,0,11.5,1.4,4,1,2.1,0.4,1.9,0.9,1.3,0.5,1.5,2,0.9,0.4,0,0.8,0.7,4.2,0.36,0.473,0.231,0.414,0.75,0.467
53,Sviatoslav Mykhailiuk,22,DET,NBA,2019-20,56,27,0.48,22.6,3,7.2,0.9,2.1,2.1,5.1,1,1.3,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9,0.41,0.425,0.404,0.552,0.814,0.578
54,Elie Okobo,22,PHO,NBA,2019-20,54,3,0.06,13.1,1.3,3.4,0.9,2,0.5,1.3,0.9,1.2,0.3,1.3,1.6,2.1,0.4,0.1,0.7,1,4,0.398,0.427,0.352,0.467,0.687,0.511
55,Josh Okogie,21,MIN,NBA,2019-20,62,28,0.45,25,2.7,6.4,2.1,3.9,0.7,2.5,2.5,3.1,1.4,2.9,4.3,1.6,1.1,0.4,1.4,2.2,8.6,0.427,0.529,0.266,0.479,0.796,0.553
56,Theo Pinson,24,BRK,NBA,2019-20,33,0,0,11.1,1.4,4.7,0.9,2.3,0.5,2.4,0.5,0.5,0.3,1.3,1.6,1.7,0.5,0.1,1,1.1,3.6,0.29,0.4,0.188,0.339,0.938,0.37
57,Duncan Robinson,25,MIA,NBA,2019-20,65,60,0.92,30,4.4,9.4,0.7,1.1,3.7,8.4,0.7,0.8,0.1,3.1,3.3,1.4,0.5,0.2,0.9,2.8,13.3,0.467,0.614,0.448,0.665,0.906,0.678
58,Jerome Robinson,22,TOT,NBA,2019-20,55,4,0.07,13.6,1.4,3.9,0.8,2,0.6,1.9,0.4,0.5,0.2,1.8,1.9,1.2,0.4,0.3,0.6,1.5,3.7,0.347,0.393,0.298,0.419,0.69,0.439
59,Mitchell Robinson,21,NYK,NBA,2019-20,61,7,0.11,23.1,4.1,5.6,4.1,5.6,0,0,1.4,2.4,3,4,7,0.6,0.9,2,0.6,3.2,9.7,0.742,0.742,,0.742,0.568,0.726
60,Collin Sexton,21,CLE,NBA,2019-20,65,65,1,33,7.9,16.7,6.4,12.8,1.5,3.9,3.5,4.1,0.9,2.2,3.1,3,1,0.1,2.4,2.2,20.8,0.472,0.501,0.38,0.517,0.846,0.56
61,Landry Shamet,22,LAC,NBA,2019-20,47,27,0.57,27.5,3.1,7.5,0.9,1.8,2.2,5.7,1.2,1.3,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.8,9.7,0.416,0.494,0.392,0.566,0.905,0.599
62,Anfernee Simons,20,POR,NBA,2019-20,65,4,0.06,21.5,3.2,8.1,2.1,4.7,1.1,3.4,1.2,1.4,0.4,1.9,2.3,1.5,0.4,0.2,0.9,2,8.8,0.402,0.448,0.338,0.472,0.826,0.506
63,Zhaire Smith,20,PHI,NBA,2019-20,7,0,0,4.6,0.4,1.6,0.4,1.1,0,0.4,0.3,0.6,0,0.3,0.3,0.3,0.4,0,0.3,0.6,1.1,0.273,0.375,0,0.273,0.5,0.313
64,Omari Spellman,22,GSW,NBA,2019-20,49,3,0.06,18.1,2.6,6,1.7,3.8,0.9,2.2,1.5,1.9,1.6,2.9,4.5,1,0.7,0.5,1.1,1.3,7.6,0.431,0.454,0.391,0.503,0.793,0.551
65,Khyri Thomas,23,DET,NBA,2019-20,8,0,0,7.6,0.6,2.1,0,0.4,0.6,1.8,0.3,0.5,0.1,0,0.1,0.4,0.4,0,0.4,1.1,2.1,0.294,0,0.357,0.441,0.5,0.453
66,Gary Trent,21,POR,NBA,2019-20,53,8,0.15,20,2.8,6.6,1.3,2.8,1.5,3.8,0.6,0.7,0.4,1.3,1.7,0.9,0.7,0.2,0.4,1.3,7.7,0.426,0.477,0.388,0.537,0.833,0.555
67,Allonzo Trier,24,NYK,NBA,2019-20,24,1,0.04,12.1,2.1,4.4,1.3,2.2,0.8,2.2,1.4,1.8,0.3,1,1.2,1.2,0.1,0.2,0.9,1.2,6.5,0.481,0.604,0.358,0.571,0.791,0.62
68,Jarrod Uthoff,26,MEM,NBA,2019-20,4,0,0,3.5,0.3,1.8,0.3,0.8,0,1,0.5,0.5,0.3,0,0.3,0,0.3,0,0,0.3,1,0.143,0.333,0,0.143,1,0.254
69,Jarred Vanderbilt,20,TOT,NBA,2019-20,11,0,0,4.2,0.5,0.7,0.5,0.6,0,0.1,0.2,0.2,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1,0.625,0.714,0,0.625,1,0.676
70,Moritz Wagner,22,WAS,NBA,2019-20,37,5,0.14,19.1,3.5,6.2,2.9,4.4,0.6,1.8,1.8,2.2,1.4,3.8,5.2,1.3,0.6,0.5,1.5,3.6,9.5,0.575,0.671,0.343,0.625,0.817,0.666
71,Lonnie Walker,21,SAS,NBA,2019-20,53,4,0.08,14.5,2.2,5,1.6,3.7,0.5,1.3,0.7,1,0.4,1.8,2.2,0.9,0.5,0.2,0.6,1.3,5.6,0.434,0.444,0.408,0.489,0.717,0.515
72,Derrick Walton,24,TOT,NBA,2019-20,26,1,0.04,9.5,0.7,1.5,0.3,0.6,0.4,0.9,0.3,0.3,0.1,0.5,0.6,1,0.3,0,0.2,0.8,2,0.462,0.533,0.417,0.59,0.778,0.617
73,Brad Wanamaker,30,BOS,NBA,2019-20,63,1,0.02,19.3,2.2,5,1.6,3.6,0.5,1.4,1.7,1.8,0.3,1.7,2,2.5,0.8,0.2,1.1,1.9,6.6,0.428,0.452,0.367,0.48,0.931,0.56
74,Yuta Watanabe,25,MEM,NBA,2019-20,16,0,0,6.2,0.8,1.8,0.6,1.3,0.2,0.5,0.2,0.5,0.4,0.7,1.1,0.3,0.3,0.1,0.1,0.6,1.9,0.414,0.429,0.375,0.466,0.375,0.461
75,Johnathan Williams,24,WAS,NBA,2019-20,11,5,0.45,12.3,1.5,2.3,1.5,2.1,0,0.2,0.3,0.5,1.4,2.5,3.9,0.5,0.1,0.5,0.4,1,3.2,0.64,0.696,0,0.64,0.6,0.643
76,Kenrich Williams,25,NOP,NBA,2019-20,35,18,0.51,22.3,1.4,4.1,0.7,1.3,0.7,2.7,0.3,0.7,1.4,3.7,5.1,1.5,0.7,0.6,0.6,2.3,3.8,0.343,0.511,0.26,0.43,0.375,0.43
77,Robert Williams,22,BOS,NBA,2019-20,23,1,0.04,14,1.8,2.7,1.8,2.7,0,0,0.6,1.1,1.5,3.2,4.7,1,0.9,1.2,0.9,1.7,4.3,0.677,0.677,,0.677,0.56,0.671
